scientific_name_id,scientific_name,korean_name,family_scientific_name,family_korean_name,genus_scientific_name,genus_korean_name,species_name,subspecies_name,resource_type
8065,Aster hayatae H.Lev. & Vaniot,눈개쑥부쟁이,Compositae,국화과,Aster,참취속,hayatae,,자생종
16839,Salix graciliglans Nakai,눈갯버들,Salicaceae,버드나무과,Salix,버드나무속,graciliglans,,자생종
16839,Salix graciliglans Nakai,눈갯버들,Salicaceae,버드나무과,Salix,버드나무속,graciliglans,,자생종
8878,Oxalis corniculata L.,눈괭이밥,Oxalidaceae,괭이밥과,Oxalis,괭이밥속,corniculata,,자생종
23025,Corydalis ochotensis Turcz.,눈괴불주머니,Fumariaceae,현호색과,Corydalis,현호색속,ochotensis,,자생종
15629,Ribes triste Pall.,눈까치밥나무,Saxifragaceae,범의귀과,Ribes,까치밥나무속,triste,,자생종
17014,Primula modesta var. hannasanensis T.Yamaz.,눈깨풀,Primulaceae,앵초과,Primula,앵초속,modesta,hannasanensis,자생종
14910,Cephalotaxus koreana Nakai,눈꺼비자나무,Cephalotaxaceae,개비자나무과,Cephalotaxus,개비자나무속,koreana,,자생종
14914,Cephalotaxus harringtonia var. nana (Nakai) Rehder,눈꺼비자나무,Cephalotaxaceae,개비자나무과,Cephalotaxus,개비자나무속,harringtonia,nana,자생종
9751,Veronica tenella All.,눈꼬리풀,Scrophulariaceae,현삼과,Veronica,개불알풀속,tenella,,자생종
19168,Caltha palustris L. var. palustris,눈동의나물,Ranunculaceae,미나리아재비과,Caltha,동의나물속,palustris,palustris,자생종
1109,Bistorta suffulta (Maxim.) Greene ex H.Gross,눈범꼬리,Polygonaceae,마디풀과,Bistorta,범꼬리속,suffulta,,자생종
2894,Saussurea rectinervis Nakai,눈분취,Compositae,국화과,Saussurea,취나물속,rectinervis,,자생종
5927,Juncus wallichianus J.Gay ex Laharpe,눈비녀골풀,Juncaceae,골풀과,Juncus,골풀속,wallichianus,,자생종
13249,Amaranthus deflexus L.,눈비름,Amaranthaceae,비름과,Amaranthus,비름속,deflexus,,자생종
1719,Cimicifuga dahurica (Turcz. ex Fisch. & C.A.Mey.) Maxim.,눈빛승마,Ranunculaceae,미나리아재비과,Cimicifuga,승마속,dahurica,,자생종
10627,Artemisia stelleriana Besser,눈빛쑥,Compositae,국화과,Artemisia,쑥속,stelleriana,,자생종
4940,Carex rupestris Bell. ex All.,눈사초,Cyperaceae,사초과,Carex,사초속,rupestris,,자생종
16829,Salix divaricata var. metaformosa (Nakai) Kitag.,눈산버들,Salicaceae,버드나무과,Salix,버드나무속,divaricata,metaformosa,자생종
10522,Artemisia freyniana f. vestita (Kom.) Kitag.,눈산쑥,Compositae,국화과,Artemisia,쑥속,freyniana,vestita,자생종
15049,Juniperus chinensis var. sargentii A.Henry,눈상나무,Cupressaceae,측백나무과,Juniperus,향나무속,chinensis,sargentii,자생종
19147,Adonis amurensis Regel & Radde,눈색이속,Ranunculaceae,미나리아재비과,Adonis,복수초속,amurensis,,자생종
9579,Omphalotrix longipes Maxim.,눈송이풀,Scrophulariaceae,현삼과,Omphalotrix,쌀파도풀속,longipes,,자생종
